path,genres
986097.jpg,"[1, 12]"
426063.jpg,"[1, 2]"
1087891.jpg,"[4, 3]"
10138.jpg,"[6, 3, 7]"
477036.jpg,"[1, 4, 12]"
726703.jpg,[8]
558449.jpg,"[3, 6, 0]"
280874.jpg,"[4, 5, 12, 18]"
1380983.jpg,"[18, 10, 8]"
150689.jpg,"[10, 2, 9, 0]"
386591.jpg,"[0, 15, 12]"
1244953.jpg,[4]
23990.jpg,[0]
10625.jpg,"[0, 8]"
1242011.jpg,"[1, 10]"
955569.jpg,"[1, 4]"
1422211.jpg,"[10, 0]"
957119.jpg,"[8, 10]"
313867.jpg,"[10, 8]"
85430.jpg,"[8, 10]"
216015.jpg,"[0, 10, 4]"
1326106.jpg,"[11, 3, 7]"
131631.jpg,"[7, 6, 4]"
1326106.jpg,"[11, 3, 7]"
34851.jpg,"[7, 3, 4]"
953.jpg,"[9, 11, 6, 8]"
271890.jpg,[0]
4247.jpg,[8]
309875.jpg,"[8, 10]"
603692.jpg,"[3, 4, 5]"
1084199.jpg,"[1, 7, 4]"
558449.jpg,"[3, 6, 0]"
1251717.jpg,"[1, 4]"
129.jpg,"[11, 9, 2]"
533658.jpg,[17]
693134.jpg,"[7, 6]"
482600.jpg,"[10, 0]"
150689.jpg,"[10, 2, 9, 0]"
9806.jpg,"[3, 6, 11, 9]"
1033148.jpg,"[0, 4]"
615173.jpg,"[3, 12, 4, 7]"
914215.jpg,"[1, 7, 4]"
375580.jpg,"[1, 12]"
74471.jpg,"[1, 3, 4, 7]"
340185.jpg,[1]
11.jpg,"[6, 3, 7]"
1356039.jpg,"[3, 6, 4]"
49332.jpg,"[1, 7, 4]"
1151031.jpg,[1]
1208348.jpg,"[0, 8]"
1319895.jpg,"[3, 8, 4]"
92779.jpg,"[1, 7]"
125490.jpg,"[7, 1]"
718930.jpg,"[3, 8, 4]"
1268552.jpg,"[8, 0]"
1907.jpg,"[0, 6, 10, 4]"
1049171.jpg,[0]
1285965.jpg,"[1, 4]"
138843.jpg,"[1, 4]"
1288072.jpg,"[1, 12]"
648878.jpg,"[14, 8, 5]"
823464.jpg,"[3, 6, 7]"
1381.jpg,"[0, 6, 7, 10]"
42299.jpg,[8]
1028248.jpg,"[3, 5]"
869166.jpg,"[8, 10]"
66194.jpg,"[8, 1]"
1241742.jpg,[0]
9502.jpg,"[11, 9, 8, 3, 6]"
216282.jpg,"[3, 4]"
109445.jpg,"[11, 9, 6, 2]"
539972.jpg,"[3, 6, 4]"
408866.jpg,"[3, 5]"
1328402.jpg,"[1, 4, 12]"
1323409.jpg,"[7, 1, 8]"
360920.jpg,"[9, 8, 11]"
17207.jpg,[8]
205596.jpg,"[16, 0, 4, 15]"
10885.jpg,"[1, 12, 4]"
1228685.jpg,"[10, 0]"
98.jpg,"[3, 0, 6]"
314062.jpg,"[9, 2]"
1278950.jpg,"[1, 0, 4]"
27522.jpg,"[2, 1]"
254.jpg,"[6, 0, 3]"
350.jpg,"[0, 8]"
873967.jpg,"[1, 4]"
47039.jpg,[0]
81672.jpg,[0]
15842.jpg,"[0, 10]"
221868.jpg,"[5, 4]"
1252309.jpg,"[10, 0]"
85430.jpg,"[8, 10]"
14452.jpg,"[3, 4, 5, 6]"
1011985.jpg,"[11, 9, 3, 8, 6, 2]"
1426518.jpg,[17]
216791.jpg,"[0, 3]"
809.jpg,"[11, 9, 8, 2, 6, 10]"
1726.jpg,"[3, 7, 6]"
425148.jpg,"[6, 5, 9, 8]"
853791.jpg,"[10, 8]"
585.jpg,"[11, 8, 9]"
38757.jpg,"[11, 9, 6]"
508.jpg,"[8, 10, 0]"
547265.jpg,"[0, 18, 4]"
105.jpg,"[6, 8, 7]"
1401281.jpg,"[0, 13, 16]"
87936.jpg,"[0, 10, 4]"
1124620.jpg,"[1, 8]"
50023.jpg,"[2, 12, 4, 10]"
475557.jpg,"[5, 4, 0]"
975225.jpg,"[13, 8]"
1229915.jpg,"[5, 4, 13, 12]"
50014.jpg,[0]
68721.jpg,"[3, 6, 7]"
507250.jpg,"[3, 4]"
14160.jpg,"[11, 8, 9, 6]"
88.jpg,"[0, 13, 10]"
122917.jpg,"[3, 6, 2]"
73861.jpg,"[5, 1, 4]"
223389.jpg,"[3, 0, 4, 18]"
1337395.jpg,[0]
349064.jpg,[0]
86819.jpg,"[11, 0]"
19554.jpg,"[0, 10]"
73723.jpg,"[11, 9]"
177572.jpg,"[6, 9, 11, 3, 8]"
386591.jpg,"[0, 15, 12]"
26675.jpg,[1]
398007.jpg,[14]
152760.jpg,"[15, 0, 16, 3]"
1250.jpg,"[4, 3, 2]"
1155281.jpg,"[3, 2, 15]"
290562.jpg,[8]
635302.jpg,"[11, 3, 2, 4]"
425.jpg,"[11, 8, 9, 6]"
335984.jpg,"[7, 0]"
511.jpg,"[0, 16]"
1569078.jpg,[0]
484133.jpg,[17]
283452.jpg,[0]
47145.jpg,[0]
786892.jpg,"[3, 7, 6]"
386086.jpg,[13]
12155.jpg,"[9, 2, 6]"
571844.jpg,[8]
1096846.jpg,[0]
1028935.jpg,"[10, 8, 13, 18]"
1159311.jpg,"[11, 3, 6, 7]"
308143.jpg,"[10, 8, 18]"
16869.jpg,"[0, 4, 15]"
564176.jpg,[1]
579974.jpg,"[3, 6, 0]"
1245993.jpg,"[5, 4, 8]"
102382.jpg,"[3, 6, 7]"
111.jpg,"[3, 5, 0]"
507086.jpg,"[6, 3, 7]"
46202.jpg,"[4, 1, 3]"
447365.jpg,"[7, 6, 3, 8]"
1579744.jpg,"[8, 0]"
31304.jpg,"[0, 10]"
71552.jpg,[8]
36439.jpg,"[0, 15]"
11688.jpg,"[6, 11, 8, 9, 2]"
1126336.jpg,"[4, 0]"
559.jpg,"[3, 6, 7]"
640.jpg,"[0, 5]"
18785.jpg,[8]
20160.jpg,"[0, 10]"
171045.jpg,"[1, 4]"
269955.jpg,[0]
166089.jpg,"[10, 4, 0]"
726888.jpg,"[0, 4]"
30239.jpg,"[0, 16]"
901511.jpg,"[17, 16]"
206724.jpg,"[8, 0]"
10665.jpg,"[1, 4]"
1426776.jpg,"[4, 0, 5]"
346652.jpg,"[1, 8]"
377690.jpg,[0]
372921.jpg,"[8, 10]"
1571470.jpg,"[2, 0, 6]"
50958.jpg,"[5, 0]"
7485.jpg,"[0, 3, 4]"
72160.jpg,"[6, 14]"
1294203.jpg,"[0, 10]"
605722.jpg,"[7, 8, 3]"
1373445.jpg,"[1, 4]"
96167.jpg,"[1, 4, 12]"
12.jpg,"[11, 9]"
378092.jpg,"[4, 5, 3]"
1034541.jpg,"[1, 4]"
21194.jpg,"[8, 0]"
660632.jpg,"[4, 18, 5]"
52083.jpg,[8]
645710.jpg,[4]
504592.jpg,"[0, 7]"
18240.jpg,"[8, 10, 0]"
284.jpg,"[8, 0, 10]"
158852.jpg,"[6, 9, 12, 7]"
183026.jpg,"[4, 0, 12]"
348060.jpg,"[3, 0]"
1049942.jpg,"[1, 4]"
260514.jpg,"[11, 6, 8, 9]"
726075.jpg,"[9, 7, 6, 8]"
143547.jpg,"[14, 1, 0, 10]"
150540.jpg,"[11, 9, 6, 0, 8]"
858485.jpg,"[3, 0, 4]"
67203.jpg,"[3, 7, 4]"
8681.jpg,"[3, 4]"
299534.jpg,"[6, 7, 3]"
807.jpg,"[5, 12, 4]"
923857.jpg,"[8, 0]"
770684.jpg,"[1, 4, 3]"
10015.jpg,"[15, 0]"
2062.jpg,"[11, 8, 9, 2]"
229280.jpg,[17]
927774.jpg,"[0, 10, 8]"
39788.jpg,"[5, 8]"
1185528.jpg,"[3, 0, 16]"
573435.jpg,"[3, 8, 5, 4, 6]"
543694.jpg,[0]
152601.jpg,"[10, 7, 0]"
398397.jpg,[0]
370783.jpg,"[8, 1]"
1271981.jpg,[0]
29833.jpg,[1]
51052.jpg,"[0, 11, 9, 8]"
42318.jpg,"[5, 0]"
260513.jpg,"[3, 6, 11, 9]"
577922.jpg,"[3, 4, 7]"
68610.jpg,[1]
1293286.jpg,"[14, 3]"
245706.jpg,"[5, 0, 16]"
176294.jpg,[8]
1526215.jpg,"[17, 15]"
19059.jpg,"[4, 6, 3, 8]"
315162.jpg,"[11, 6, 2, 8, 9]"
634528.jpg,"[3, 0, 4]"
253205.jpg,"[1, 4]"
9479.jpg,"[2, 11, 9]"
713607.jpg,[10]
228150.jpg,"[15, 0, 3]"
406107.jpg,"[1, 4]"
250546.jpg,[1]
240.jpg,"[0, 5]"
77338.jpg,"[0, 8]"
1290879.jpg,"[12, 4, 5]"
1309012.jpg,"[7, 3]"
11469.jpg,"[8, 2, 6]"
8587.jpg,"[9, 11, 0, 6]"
37342.jpg,"[5, 12, 1, 4]"
1422096.jpg,"[1, 4]"
4951.jpg,"[8, 10, 0]"
63319.jpg,[0]
812583.jpg,"[8, 12, 5]"
760104.jpg,"[1, 4]"
3933.jpg,"[10, 2, 11]"
630.jpg,"[6, 2, 9]"
1337411.jpg,"[0, 10]"
785752.jpg,"[0, 12, 4]"
400728.jpg,"[15, 0]"
1124619.jpg,"[3, 8]"
1357633.jpg,"[3, 6, 2, 11]"
949.jpg,"[5, 0, 3]"
1138194.jpg,"[1, 4]"
14001.jpg,[1]
11324.jpg,"[0, 4, 12]"
90187.jpg,"[5, 0, 4]"
63888.jpg,"[0, 10, 16]"
42217.jpg,"[0, 10]"
11842.jpg,[14]
11842.jpg,"[5, 0]"
49172.jpg,"[0, 5]"
49950.jpg,"[4, 0, 1]"
8292.jpg,"[3, 5]"
128077.jpg,[8]
549509.jpg,"[0, 16]"
324544.jpg,"[3, 2, 14]"
85877.jpg,"[8, 7]"
1400784.jpg,"[17, 13]"
86792.jpg,"[4, 10]"
821492.jpg,[0]
271039.jpg,"[10, 0]"
39478.jpg,"[5, 0, 4]"
34644.jpg,"[5, 0, 12, 4]"
1471345.jpg,[8]
85162.jpg,"[1, 4]"
336474.jpg,[17]
8413.jpg,"[1, 7, 12]"
57158.jpg,"[2, 6, 3]"
182560.jpg,"[4, 12, 0, 5]"
207766.jpg,"[0, 4]"
74513.jpg,"[3, 0, 15]"
348.jpg,"[1, 7]"
74903.jpg,[0]
33278.jpg,"[1, 7]"
62177.jpg,"[11, 6, 8, 9, 3, 2]"
1103432.jpg,"[11, 3, 7]"
1211776.jpg,[4]
1306919.jpg,"[8, 0]"
111409.jpg,"[0, 10]"
660334.jpg,[0]
360784.jpg,"[4, 1]"
331068.jpg,[11]
42258.jpg,"[0, 16]"
362736.jpg,[1]
1317877.jpg,[1]
934201.jpg,"[8, 4, 5, 1]"
315635.jpg,"[3, 6, 7]"
10193.jpg,"[11, 9, 8]"
499816.jpg,"[4, 18]"
1552819.jpg,[3]
167092.jpg,"[3, 0]"
792.jpg,"[0, 15, 3]"
39254.jpg,"[3, 7, 0]"
369892.jpg,"[5, 12, 18]"
1314398.jpg,[0]
843527.jpg,"[10, 0, 8]"
423.jpg,"[0, 15]"
471493.jpg,"[4, 1, 5]"
65958.jpg,"[0, 16]"
1327819.jpg,"[9, 8, 11, 7]"
1791.jpg,"[0, 10]"
164251.jpg,[0]
646683.jpg,"[1, 4]"
1504083.jpg,[8]
1064307.jpg,"[11, 6, 2, 8]"
801968.jpg,[8]
2024.jpg,"[0, 16, 15, 3]"
8749.jpg,"[8, 0]"
1368166.jpg,"[12, 4]"
49521.jpg,"[3, 6, 7]"
369032.jpg,"[3, 5, 1, 4]"
617512.jpg,"[8, 11]"
25500.jpg,"[4, 12, 5]"
42094.jpg,"[8, 10]"
132019.jpg,"[1, 4]"
10771.jpg,"[4, 3, 8, 7]"
1154215.jpg,"[3, 4]"
557.jpg,"[3, 7]"
403642.jpg,"[5, 1, 12, 4]"
639933.jpg,"[3, 6, 2]"
512200.jpg,"[6, 8, 2]"
10191.jpg,"[2, 6, 11, 9]"
743022.jpg,[1]
870360.jpg,"[9, 8, 6, 11, 7]"
12535.jpg,"[8, 12, 4]"
64806.jpg,"[18, 1, 7, 3]"
296096.jpg,"[0, 10]"
639720.jpg,"[8, 2, 9]"
799876.jpg,"[5, 0, 4, 12]"
73796.jpg,"[0, 10]"
324857.jpg,"[11, 3, 6, 7]"
1126166.jpg,"[3, 4]"
418389.jpg,[1]
577022.jpg,"[4, 18]"
1252428.jpg,"[6, 1, 4]"
473033.jpg,"[0, 4, 5]"
615177.jpg,"[8, 3, 5]"
976573.jpg,"[9, 2, 8, 10, 11]"
329865.jpg,"[0, 7, 12]"
128188.jpg,[1]
463870.jpg,[4]
1200320.jpg,"[4, 14]"
56899.jpg,"[8, 10, 0]"
98360.jpg,"[8, 1]"
9821.jpg,"[0, 8]"
698508.jpg,"[10, 0, 14]"
1244039.jpg,[1]
22832.jpg,"[3, 6, 4]"
10591.jpg,"[8, 10]"
769.jpg,"[0, 5]"
297762.jpg,"[3, 6, 2]"
1422.jpg,"[0, 4, 5]"
2649.jpg,"[0, 4, 12]"
1196791.jpg,[0]
112229.jpg,"[7, 3, 4]"
213805.jpg,[1]
374987.jpg,"[18, 12, 0, 16, 5]"
33340.jpg,[0]
626576.jpg,"[1, 2, 4]"
1283320.jpg,[0]
575264.jpg,"[3, 4]"
944864.jpg,"[3, 5, 4]"
744940.jpg,"[18, 10]"
489.jpg,[0]
134197.jpg,"[5, 4, 18]"
668489.jpg,"[3, 5, 4]"
82690.jpg,"[9, 11, 8, 6]"
41981.jpg,"[8, 12]"
15566.jpg,"[8, 10]"
33586.jpg,"[8, 10]"
1310568.jpg,"[12, 4, 3]"
218.jpg,"[3, 4, 7]"
49126.jpg,"[0, 1, 4]"
1262599.jpg,[0]
1262599.jpg,"[0, 9]"
370097.jpg,"[3, 0, 4, 7]"
46853.jpg,[0]
20352.jpg,"[9, 8, 11, 7]"
49013.jpg,"[11, 9, 6, 8]"
396535.jpg,"[1, 4, 3, 6]"
100671.jpg,"[1, 12]"
198427.jpg,[0]
726916.jpg,"[10, 0]"
253477.jpg,[1]
439079.jpg,[1]
52799.jpg,"[0, 10]"
21946.jpg,[4]
680027.jpg,"[4, 7]"
423988.jpg,"[7, 3, 4]"
1241436.jpg,"[15, 3]"
78073.jpg,[1]
526896.jpg,"[3, 7, 2]"
236000.jpg,[11]
5255.jpg,"[11, 6, 9, 2]"
1261501.jpg,"[4, 0, 5, 3]"
1109940.jpg,"[8, 0]"
68718.jpg,"[0, 14]"
76498.jpg,"[17, 13]"
11609.jpg,"[8, 6]"
803690.jpg,[0]
11842.jpg,[14]
593427.jpg,"[0, 13]"
1317877.jpg,[1]
62029.jpg,[8]
406107.jpg,"[1, 4]"
53039.jpg,[8]
1277988.jpg,"[8, 0]"
128077.jpg,[8]
743022.jpg,[1]
489.jpg,[0]
95966.jpg,"[3, 5, 10, 14]"
453395.jpg,"[2, 3, 6]"
82368.jpg,[8]
1149167.jpg,"[3, 5, 4]"
137113.jpg,"[3, 7]"
82690.jpg,"[9, 11, 8, 6]"
253029.jpg,"[16, 0]"
1383089.jpg,"[0, 4, 15]"
1083433.jpg,"[1, 12, 4]"
447273.jpg,"[9, 2]"
47653.jpg,"[8, 10]"
556802.jpg,[8]
810.jpg,"[2, 6, 11, 8, 9]"
850990.jpg,[17]
1261148.jpg,"[1, 4]"
9774.jpg,"[3, 16, 15]"
38004.jpg,"[8, 10]"
505746.jpg,"[3, 8]"
55335.jpg,"[0, 16]"
105734.jpg,"[8, 0]"
1149167.jpg,"[3, 5, 4]"
1042834.jpg,"[4, 0]"
9982.jpg,"[11, 9, 8]"
92323.jpg,"[8, 0, 10]"
1491.jpg,"[2, 0, 4, 10]"
12133.jpg,[8]
930564.jpg,"[0, 8, 4]"
45650.jpg,"[4, 6, 2]"
593643.jpg,"[8, 1, 4]"
441130.jpg,"[11, 9, 6, 2]"
748881.jpg,[10]
193580.jpg,[1]
47822.jpg,"[3, 7]"
995803.jpg,"[3, 7, 4, 8, 1]"
15952.jpg,"[0, 4]"
1992.jpg,"[1, 3, 4]"
10681.jpg,"[11, 9, 7]"
438695.jpg,"[9, 8, 13, 11]"
51743.jpg,[8]
19199.jpg,"[6, 14]"
550988.jpg,"[8, 6, 7]"
1226406.jpg,"[3, 8, 10]"
84372.jpg,[1]
209790.jpg,"[0, 14, 15]"
837047.jpg,[0]
940551.jpg,"[9, 8, 6, 11]"
1294698.jpg,"[5, 0]"
536554.jpg,"[7, 1]"
601.jpg,"[7, 6, 9, 2]"
466272.jpg,"[8, 0, 4]"
11466.jpg,"[8, 5]"
681457.jpg,"[0, 1, 8, 12, 4, 10]"
522681.jpg,"[1, 4, 12]"
23488.jpg,"[2, 0, 4]"
